tab_caixasangria_id_caixasangria;tab_caixasangria_id_caixa;tab_caixasangria_id_entidade;tab_caixasangria_id_especie;tab_caixasangria_data;tab_caixasangria_valor;tab_caixasangria_obs;tab_caixasangria_conferido
232;28;2;1;"2025-01-28 20:02:23";1180.00;"FC 1.100 - gabriel - 80,00";1
233;28;2;4;"2025-01-28 20:11:18";480.00;Crédito;1
234;28;2;3;"2025-01-28 20:11:18";760.00;Débito;1
235;28;2;5;"2025-01-28 20:11:18";115.00;Pix;1
236;29;2;1;"2025-01-29 09:02:07";7.20;PAO;1
237;29;2;1;"2025-01-29 11:38:55";700.00;FC;1
238;29;2;1;"2025-01-29 14:04:58";1700.00;FC;1
239;29;2;1;"2025-01-29 15:56:46";120.00;VISTORIA;1
240;29;2;1;"2025-01-29 15:57:02";20.00;"PARAFUSOS MOTO FAN";1
241;29;2;1;"2025-01-29 17:09:17";6.00;"PANO DE CHAO";1
242;29;2;1;"2025-01-29 17:36:02";30.00;"GABRIEL FEZ PIX";1
243;29;2;1;"2025-01-29 19:03:17";80.00;GABRIEL;1
244;29;2;1;"2025-01-29 20:01:46";500.00;FC;1
245;29;2;4;"2025-01-29 20:02:49";115.00;Crédito;1
246;29;2;3;"2025-01-29 20:02:49";345.00;Débito;1
247;30;2;1;"2025-01-30 08:55:39";6.40;PAO;1
248;30;2;1;"2025-01-30 12:01:56";2400.00;FC;1
249;30;2;1;"2025-01-30 19:55:59";735.00;FC;1
250;30;2;4;"2025-01-30 20:07:04";275.00;Crédito;1
251;30;2;3;"2025-01-30 20:07:04";60.00;Débito;1
252;31;2;1;"2025-01-31 11:53:53";1000.00;FC;1
253;31;2;1;"2025-01-31 14:19:21";1700.00;FC;1
254;31;2;1;"2025-01-31 16:27:21";24.40;"SABONETE PARA MAOS 14, pão 10,40";1
255;31;2;1;"2025-01-31 18:16:27";125.00;TELEFONES;1
256;31;2;1;"2025-01-31 19:02:11";80.00;GABRIEL;1
257;31;2;1;"2025-01-31 19:58:07";250.00;FC;1
258;31;2;4;"2025-01-31 20:03:49";120.00;Crédito;1
259;31;2;3;"2025-01-31 20:03:49";1285.00;Débito;1
260;32;2;1;"2025-02-01 13:18:55";1000.00;FC;1
261;32;2;1;"2025-02-01 14:39:36";100.00;"DIESEL CAMINHAO";1
262;32;2;1;"2025-02-01 14:42:11";6.40;PAO;1
263;32;2;1;"2025-02-01 18:59:23";1200.00;FC;1
264;32;2;1;"2025-02-01 19:00:56";0.00;GABRIEL;1
265;32;2;1;"2025-02-01 20:03:03";250.00;FC;1
266;32;2;4;"2025-02-01 20:20:16";235.00;Crédito;1
267;32;2;3;"2025-02-01 20:20:16";470.00;Débito;1
268;32;2;6;"2025-02-01 20:20:16";115.00;"Pix Portaria";1
269;33;1;4;"2025-02-02 10:41:08";115.00;"Crédito - cliente pagou na maquininha sacolao";1
270;33;2;1;"2025-02-02 14:09:01";80.00;GABRIEL;1
271;33;1;3;"2025-02-02 14:22:06";120.00;"CLIENTE PAGOU NO DEBITO ONTEM A NOITE";1
272;33;1;1;"2025-02-02 14:22:33";4.00;PAO;1
273;33;1;1;"2025-02-02 14:24:55";535.00;"FC 650 - 115";1
274;33;2;4;"2025-02-02 14:39:35";595.00;Crédito;1
275;33;2;3;"2025-02-02 14:39:35";180.00;Débito;1
276;34;2;1;"2025-02-03 11:43:59";2400.00;FC;1
277;34;2;1;"2025-02-03 14:44:22";800.00;FC;1
278;34;2;1;"2025-02-03 17:56:06";2800.00;FC;1
279;34;2;1;"2025-02-03 17:58:06";6.40;PAO;1
280;34;2;1;"2025-02-03 20:00:53";500.00;FC;1
281;34;2;4;"2025-02-03 20:07:54";710.00;Crédito;1
282;35;2;1;"2025-02-04 08:37:14";17.25;"CORDA DE  METROS E 4,80 do pão";1
283;35;2;1;"2025-02-04 12:36:50";2000.00;FC;1
284;35;2;1;"2025-02-04 17:38:06";1300.00;FC;1
285;35;2;4;"2025-02-04 18:05:31";355.00;Crédito;1
286;35;2;3;"2025-02-04 18:05:31";335.00;Débito;1
287;36;170;1;"2025-02-04 20:29:54";500.00;FC;1
288;36;170;4;"2025-02-04 20:30:47";240.00;Crédito;1
289;36;170;3;"2025-02-04 20:30:47";235.00;Débito;1
290;37;2;1;"2025-02-05 14:30:12";4000.00;FC;1
291;37;2;1;"2025-02-05 19:53:50";950.00;FC;1
292;37;2;1;"2025-02-05 19:54:14";304.80;"GABRIEL matrícula carta moto  , pão 4,80";1
293;37;2;4;"2025-02-05 20:22:32";595.00;Crédito;1
294;37;2;3;"2025-02-05 20:22:32";1450.00;Débito;1
295;37;2;6;"2025-02-05 20:22:32";235.00;"Pix Portaria";1
296;38;2;1;"2025-02-06 17:13:18";50.00;"GASOLINA MOTO YBR";1
297;38;2;1;"2025-02-06 18:07:06";1200.00;FC;1
298;38;2;1;"2025-02-06 19:55:53";400.00;FC;1
299;38;2;4;"2025-02-06 20:07:17";355.00;Crédito;1
300;38;2;3;"2025-02-06 20:07:17";350.00;Débito;1
301;38;2;6;"2025-02-06 20:07:17";15.00;"Pix Portaria";1
302;39;2;1;"2025-02-07 08:11:50";3.25;PAO;1
303;39;2;1;"2025-02-07 13:16:29";4500.00;FC;1
304;39;2;1;"2025-02-07 19:53:50";900.00;FC;1
305;39;2;4;"2025-02-07 20:03:56";120.00;Crédito;1
306;39;2;3;"2025-02-07 20:03:56";840.00;Débito;1
307;40;2;1;"2025-02-08 08:17:44";4.80;PAO;1
308;40;2;1;"2025-02-08 14:26:12";4000.00;FC;1
309;40;2;1;"2025-02-08 19:55:14";600.00;FC;1
310;40;2;4;"2025-02-08 20:03:24";450.00;Crédito;1
311;40;2;3;"2025-02-08 20:03:24";1250.00;"Débito 1195 + 55 dia anterior";1
312;41;2;1;"2025-02-09 10:07:01";4.80;PAO;1
313;41;2;1;"2025-02-09 12:51:46";50.00;"GASOLINA YBR";1
314;41;2;1;"2025-02-09 13:56:36";600.00;Fc;1
315;41;2;4;"2025-02-09 14:09:40";760.00;Crédito;1
316;41;2;3;"2025-02-09 14:09:40";470.00;Débito;1
317;41;2;6;"2025-02-09 14:09:40";115.00;"Pix Portaria";1
318;42;2;1;"2025-02-10 09:44:40";4.80;PAO;1
319;42;2;1;"2025-02-10 09:45:23";5.00;"BENJAMIN PARA TOMADA";1
320;42;2;1;"2025-02-10 13:44:59";3500.00;FC;1
321;42;170;1;"2025-02-10 19:51:16";855.00;"FC 1550 - 425 clayton -270 araujo";1
322;42;2;4;"2025-02-10 20:10:15";120.00;Crédito;1
323;42;2;3;"2025-02-10 20:10:15";360.00;Débito;1
324;43;2;1;"2025-02-11 09:51:29";4.80;PAO;1
325;43;2;1;"2025-02-11 13:32:30";1200.00;FC;1
326;43;2;1;"2025-02-11 19:52:48";1100.02;"FC 1100 + 0,02 fabiano";1
327;43;2;4;"2025-02-11 20:00:25";120.00;Crédito;1
328;43;2;3;"2025-02-11 20:00:25";710.00;Débito;1
329;43;2;6;"2025-02-11 20:00:25";120.00;"Pix Portaria";1
330;44;2;1;"2025-02-12 09:47:43";4.00;PAO;1
331;44;2;1;"2025-02-12 13:30:46";180.00;"GABRIEL CNH";1
332;44;2;1;"2025-02-12 14:35:22";12.90;"PLUGUE TOMADA";1
333;44;2;1;"2025-02-12 15:44:34";1700.00;FC;1
334;44;2;1;"2025-02-12 17:05:46";50.00;"GASOLINA YBR";1
335;44;2;1;"2025-02-12 19:51:00";200.00;FC;1
336;44;2;4;"2025-02-12 19:59:47";775.00;Crédito;1
337;44;2;3;"2025-02-12 19:59:47";715.00;Débito;1
338;45;2;1;"2025-02-13 10:13:53";3.20;PAO;1
339;45;2;1;"2025-02-13 19:46:37";950.00;FC;1
340;45;2;4;"2025-02-13 19:56:44";120.00;Crédito;1
341;45;2;3;"2025-02-13 19:56:44";235.00;Débito;1
342;45;2;6;"2025-02-13 19:56:44";230.00;"Pix Portaria";1
343;46;2;1;"2025-02-14 10:13:10";4.00;PAO;1
344;46;2;1;"2025-02-14 13:54:25";5000.00;"HELIO GS";1
345;46;2;1;"2025-02-14 14:22:52";200.00;VALDO;1
346;46;2;1;"2025-02-14 19:51:55";500.00;FC;1
347;46;2;3;"2025-02-14 20:00:42";570.00;Débito;1
348;46;2;6;"2025-02-14 20:00:42";115.00;"Pix Chave";1
349;47;2;1;"2025-02-15 12:57:02";1000.00;FC;1
350;47;2;1;"2025-02-15 15:20:03";13.00;"CLORO ,DESINFETANTE";1
351;47;2;1;"2025-02-15 16:36:43";2300.00;FC;1
352;47;2;1;"2025-02-15 19:19:21";450.00;FC;1
353;47;2;1;"2025-02-15 19:53:00";23.00;"PAO - Chip vivo 19,00";1
354;47;2;4;"2025-02-15 20:06:10";825.00;Crédito;1
355;47;2;3;"2025-02-15 20:06:10";535.00;Débito;1
356;48;170;1;"2025-02-16 10:45:42";4.00;PAO;1
357;48;170;1;"2025-02-16 14:18:05";630.00;"80 GABRIEL 550 FC";1
358;48;170;4;"2025-02-16 14:18:47";355.00;Crédito;1
359;48;170;3;"2025-02-16 14:18:47";120.00;Débito;1
360;49;2;1;"2025-02-17 10:15:45";8.20;"99 -DO KAIQUE   ---- pão 3,20";1
361;49;2;1;"2025-02-17 12:33:21";2000.00;FC;1
362;49;2;1;"2025-02-17 19:55:13";750.00;FC;1
363;49;2;4;"2025-02-17 20:20:34";120.00;Crédito;1
364;49;2;3;"2025-02-17 20:20:34";235.00;Débito;1
365;49;2;6;"2025-02-17 20:20:34";325.00;"Pix Chave";1
366;50;2;1;"2025-02-18 09:40:05";50.00;"GASOLINA YBR";1
367;50;2;1;"2025-02-18 11:06:22";4.00;pão;1
368;50;2;1;"2025-02-18 15:22:42";1200.00;FC;1
369;50;2;4;"2025-02-18 15:40:49";115.00;Crédito;1
370;50;2;3;"2025-02-18 15:40:49";820.00;Débito;1
371;50;2;6;"2025-02-18 15:40:49";142.30;"Pix Chave";1
372;51;170;1;"2025-02-18 19:34:26";150.00;FC;1
373;51;170;4;"2025-02-18 19:36:03";215.00;Crédito;1
375;52;2;1;"2025-02-19 11:09:57";4000.00;FC;1
376;52;2;1;"2025-02-19 13:44:38";50.00;"OLEO DE MOTO ,2LTS ";1
377;52;2;1;"2025-02-19 13:45:57";50.00;"ROLAMENTO MOTO FAN";1
378;52;2;1;"2025-02-19 13:48:26";20.00;"JUNTA DA TAMPA DE EMBREAGEM";1
379;52;2;1;"2025-02-19 13:50:36";60.00;"FILTRO CENTRIFUGO";1
380;52;2;1;"2025-02-19 19:38:41";1200.00;FC;1
381;52;2;1;"2025-02-19 19:57:08";3.20;PAO;1
382;52;2;4;"2025-02-19 19:58:57";175.00;Crédito;1
383;52;2;3;"2025-02-19 19:58:57";420.00;Débito;1
384;52;2;6;"2025-02-19 19:58:57";2531.88;"Pix Chave";1
385;53;2;1;"2025-02-20 10:53:39";32.00;GASOLINA;1
386;53;2;1;"2025-02-20 18:52:21";800.00;FC;1
387;53;2;1;"2025-02-20 19:04:26";10.50;"99 KAIQUE";1
