tab_contasapagar_id_contasapagar;tab_contasapagar_id_contasapagarsetor;tab_contasapagar_id_entidade;tab_contasapagar_datacad;tab_contasapagar_descricao;tab_contasapagar_vencimento;tab_contasapagar_valor;tab_contasapagar_datapago;tab_contasapagar_valorpago;tab_contasapagar_obs
111;4;1;"2025-01-17 15:48:11";"IPVA 2025 strada FGK8G30";"2025-01-17 00:00:00";713.92;"2025-01-17 00:00:00";713.92;
112;4;1;"2025-01-17 15:48:26";"IPVA 2025 moto BYK9979";"2025-01-17 00:00:00";82.99;"2025-01-17 00:00:00";82.99;
114;6;1;"2025-01-18 14:52:14";"Tinta amarela para chão";"2025-01-18 00:00:00";39.90;"2025-01-18 00:00:00";39.90;
115;1;1;"2025-01-18 18:55:05";"Conta de água";"2025-02-20 00:00:00";153.96;"2025-02-17 00:00:00";153.96;
116;6;1;"2025-01-20 13:07:21";"Troca de fios dos telefones";"2025-01-20 00:00:00";50.00;"2025-01-20 00:00:00";50.00;
117;8;1;"2025-01-20 13:07:43";Pão;"2025-01-19 00:00:00";2.40;"2025-01-19 00:00:00";2.40;
118;6;1;"2025-01-20 13:08:10";"1 Rolo Fita Adesiva";"2025-01-18 00:00:00";8.90;"2025-01-18 00:00:00";8.90;
119;8;1;"2025-01-20 13:08:25";Pão;"2025-01-18 00:00:00";6.40;"2025-01-18 00:00:00";6.40;
120;4;1;"2025-01-20 13:10:48";"Lâmpadas strada";"2025-01-17 00:00:00";68.00;"2025-01-17 00:00:00";68.00;
121;6;1;"2025-01-20 13:11:13";"Caneta marca texto";"2025-01-17 00:00:00";4.90;"2025-01-17 00:00:00";4.90;
122;8;1;"2025-01-20 13:11:23";Pão;"2025-01-17 00:00:00";6.40;"2025-01-17 00:00:00";6.40;
123;1;1;"2025-01-20 14:45:39";"AVCB Bombeiros";"2025-01-20 00:00:00";142.16;"2025-01-20 00:00:00";142.16;
124;7;2;"2025-01-20 15:33:14";"282 botijões com gás";"2025-01-28 00:00:00";22368.24;"2025-01-29 00:00:00";22368.24;
125;5;1;"2025-01-20 18:57:04";"Adiantamento Salarial Douglas";"2025-01-20 00:00:00";1100.00;"2025-01-20 00:00:00";1100.00;
126;5;1;"2025-01-20 18:57:16";"Adiantamento Salarial João Vitor";"2025-01-20 00:00:00";920.00;"2025-01-20 00:00:00";920.00;
127;4;1;"2025-01-20 18:58:21";"Gasolina strada";"2025-01-20 00:00:00";50.00;"2025-01-20 00:00:00";50.00;
128;4;1;"2025-01-20 18:58:39";"Relê e 3 lâmpadas moto";"2025-01-20 00:00:00";30.00;"2025-01-20 00:00:00";30.00;
129;1;1;"2025-01-21 17:16:20";"Contrato compra e venda, alteração empresa, certificado digital 3 anos";"2025-01-21 00:00:00";1700.00;"2025-01-21 00:00:00";1700.00;
130;7;2;"2025-01-22 15:33:39";"200 botijões com gás";"2025-01-30 00:00:00";15864.00;"2025-01-30 00:00:00";15864.00;
133;1;1;"2025-01-24 12:20:37";"Contrato de Aluguel";"2025-01-24 00:00:00";150.00;"2025-01-24 00:00:00";150.00;
134;9;1;"2025-01-24 12:21:09";"Google ADS";"2025-01-24 00:00:00";150.00;"2025-01-24 00:00:00";150.00;
135;6;1;"2025-01-24 13:23:54";"1 tubo esgoto 50mm 6m + 1 cotovelo 50mm 45 + 2 cotovelo 50mm 90";"2025-01-23 00:00:00";80.50;"2025-01-23 00:00:00";80.50;
136;7;2;"2025-01-24 14:12:02";"200 botijões com gás";"2025-02-03 00:00:00";15864.00;"2025-02-03 00:00:00";15864.00;
137;4;1;"2025-01-24 18:42:58";"Gasolina strada 193.203 km";"2025-01-24 00:00:00";200.00;"2025-01-24 00:00:00";200.00;
142;8;1;"2025-01-26 10:29:47";"Margarina Qualy 1kg";"2025-01-17 00:00:00";12.20;"2025-01-17 00:00:00";12.20;
144;7;2;"2025-01-27 11:11:13";"200 Botijões com gás  ";"2025-01-27 00:00:00";15500.00;"2025-01-27 00:00:00";15500.00;
145;1;1;"2025-01-27 11:45:06";"IPTU 2025";"2025-01-27 00:00:00";298.67;"2025-01-27 00:00:00";298.67;
146;8;1;"2025-01-27 14:14:05";Pão;"2025-01-27 00:00:00";6.40;"2025-01-27 00:00:00";6.40;
147;4;1;"2025-01-27 14:14:30";"Gasolina Moto Fan";"2025-01-27 00:00:00";50.00;"2025-01-27 00:00:00";50.00;
148;8;1;"2025-01-27 14:16:13";Pão;"2025-01-26 00:00:00";1.60;"2025-01-26 00:00:00";1.60;
149;5;1;"2025-01-27 14:16:37";"Dia Moto João Vitor";"2025-01-26 00:00:00";80.00;"2025-01-26 00:00:00";80.00;
150;8;1;"2025-01-27 14:16:59";Pão;"2025-01-25 00:00:00";6.40;"2025-01-25 00:00:00";6.40;
151;8;1;"2025-01-27 14:17:44";Pão;"2025-01-24 00:00:00";6.40;"2025-01-24 00:00:00";6.40;
152;4;1;"2025-01-27 14:17:59";"Diesel Caminhão";"2025-01-24 00:00:00";200.00;"2025-01-24 00:00:00";200.00;
153;8;1;"2025-01-27 14:18:29";Pão;"2025-01-23 00:00:00";6.40;"2025-01-23 00:00:00";6.40;
154;8;1;"2025-01-27 14:18:36";Margarina;"2025-01-23 00:00:00";8.00;"2025-01-23 00:00:00";8.00;
155;4;1;"2025-01-27 14:18:54";"Óleo Diesel Caminhão";"2025-01-23 00:00:00";85.90;"2025-01-23 00:00:00";85.90;
156;4;1;"2025-01-27 14:19:12";"Spray Desengripante";"2025-01-23 00:00:00";16.50;"2025-01-23 00:00:00";16.50;
157;4;1;"2025-01-27 14:19:31";"Gasolina Strada";"2025-01-23 00:00:00";50.00;"2025-01-23 00:00:00";50.00;
158;4;1;"2025-01-27 14:20:07";"Gasolina Moto YBR";"2025-01-22 00:00:00";50.00;"2025-01-22 00:00:00";50.00;
159;8;1;"2025-01-27 14:20:20";Pão;"2025-01-22 00:00:00";6.40;"2025-01-22 00:00:00";6.40;
160;8;1;"2025-01-27 14:20:42";Pão;"2025-01-21 00:00:00";6.40;"2025-01-21 00:00:00";6.40;
161;4;1;"2025-01-27 14:20:55";"Peças moto Fan 128";"2025-01-21 00:00:00";105.00;"2025-01-21 00:00:00";105.00;
162;10;1;"2025-01-27 14:21:16";"Desentupidor de Pia";"2025-01-21 00:00:00";30.00;"2025-01-21 00:00:00";30.00;
163;4;1;"2025-01-27 14:21:33";"Rodas Fan 2008";"2025-01-21 00:00:00";100.00;"2025-01-21 00:00:00";100.00;
164;8;1;"2025-01-27 14:24:12";Pão;"2025-01-20 00:00:00";6.40;"2025-01-20 00:00:00";6.40;
167;7;2;"2025-01-29 13:25:14";"200 botijões com gás";"2025-02-06 00:00:00";15864.00;"2025-02-04 00:00:00";15864.00;
168;4;1;"2025-01-29 13:40:53";"Vistoria Strada";"2025-01-29 00:00:00";130.00;"2025-01-29 00:00:00";130.00;
169;4;1;"2025-01-29 13:41:15";"Transferência e mudança e cor (350) strada";"2025-01-29 00:00:00";960.00;"2025-01-29 00:00:00";960.00;
170;4;1;"2025-01-29 16:26:57";"Transferência, licenciamento, placa moto";"2025-01-29 00:00:00";740.00;"2025-01-29 00:00:00";740.00;
171;4;1;"2025-01-29 17:53:43";"Recibo da Exprint para envelopamento da strada (trasnferência)";"2025-01-29 00:00:00";50.00;"2025-01-29 00:00:00";50.00;
172;4;1;"2025-01-29 18:03:18";"Gasolina moto YBR";"2025-01-27 00:00:00";50.00;"2025-01-27 00:00:00";50.00;
173;10;1;"2025-01-29 18:03:37";"Lixa, limpa alumínio para privada";"2025-01-27 00:00:00";20.00;"2025-01-27 00:00:00";20.00;
174;4;1;"2025-01-29 18:03:57";"Diesel Caminhão";"2025-01-28 00:00:00";200.00;"2025-01-28 00:00:00";200.00;
175;8;1;"2025-01-29 18:12:18";Pão;"2025-01-28 00:00:00";6.40;"2025-01-28 00:00:00";6.40;
176;4;1;"2025-01-29 18:12:42";"Cabo de velocímetro Moto Fan";"2025-01-28 00:00:00";40.00;"2025-01-28 00:00:00";40.00;
177;4;1;"2025-01-29 18:12:59";"Rolamento da Coroa Moto";"2025-01-28 00:00:00";25.00;"2025-01-28 00:00:00";25.00;
178;4;1;"2025-01-29 18:13:28";"Vistoria Moto transferência";"2025-01-29 00:00:00";120.00;"2025-01-29 00:00:00";120.00;
179;4;1;"2025-01-29 18:13:38";"Parafusos moto fan";"2025-01-29 00:00:00";20.00;"2025-01-29 00:00:00";20.00;
180;10;1;"2025-01-29 18:13:59";"Pano de chão";"2025-01-29 00:00:00";6.00;"2025-01-29 00:00:00";6.00;
183;4;1;"2025-01-30 20:26:00";"Combustível caminhão";"2025-01-04 00:00:00";600.00;"2025-01-04 00:00:00";600.00;
184;2;1;"2025-01-31 17:32:21";"Meia caixa de copos 180ml 25x100";"2025-01-31 00:00:00";53.78;"2025-01-31 00:00:00";53.78;
185;9;1;"2025-01-31 17:58:21";"Impressão de placa 50x60cm Mercado São Francisco";"2025-01-30 00:00:00";80.00;"2025-01-30 00:00:00";80.00;
186;9;1;"2025-01-31 17:58:30";"Impressão de placa 50x60cm Sacolão Jony";"2025-01-30 00:00:00";80.00;"2025-01-30 00:00:00";80.00;
187;6;2;"2025-01-31 18:14:45";telefones;"2025-01-01 00:00:00";125.00;"2025-01-01 00:00:00";125.00;
189;8;1;"2025-02-01 12:39:10";Pão;"2025-01-29 00:00:00";7.20;"2025-01-29 00:00:00";7.20;
190;8;1;"2025-02-01 12:39:35";Pão;"2025-01-30 00:00:00";6.40;"2025-01-30 00:00:00";6.40;
191;10;1;"2025-02-01 12:41:15";"Sabonete líquido para as mãos";"2025-01-31 00:00:00";14.00;"2025-01-31 00:00:00";14.00;
192;8;1;"2025-02-01 12:41:24";Pão;"2025-01-31 00:00:00";10.40;"2025-01-31 00:00:00";10.40;
193;5;1;"2025-02-01 13:23:01";"Acerto Douglas";"2025-02-01 00:00:00";1648.50;"2025-02-01 00:00:00";1648.50;
194;4;1;"2025-02-01 13:34:01";"Combustível Strada 193427 km";"2025-02-01 00:00:00";332.24;"2025-02-01 00:00:00";332.24;
195;1;2;"2025-02-01 17:39:53";"Conta de telefone 4489-1366";"2025-02-01 00:00:00";238.37;"2025-02-01 00:00:00";238.37;
196;1;1;"2025-02-01 18:50:35";"Getnet Taxas 3,59%";"2025-01-31 00:00:00";176.37;"2025-01-31 00:00:00";176.37;
198;4;1;"2025-02-02 11:42:50";"Combustível moto YBR 8,320l";"2025-02-02 00:00:00";51.00;"2025-02-02 00:00:00";51.00;
199;1;2;"2025-02-02 12:18:16";"conta de telefone 4489-0436";"2025-02-02 00:00:00";66.00;"2025-02-02 00:00:00";66.00;
200;8;1;"2025-02-03 14:35:19";"1 pct bala chiclete bolete 600g";"2025-01-31 00:00:00";9.79;"2025-01-31 00:00:00";9.79;
201;8;1;"2025-02-03 14:35:43";"1 pct bala butter 500g choc";"2025-01-31 00:00:00";15.90;"2025-01-31 00:00:00";15.90;
202;7;2;"2025-02-03 18:01:16";"285 botijões com gás P13 , 3 botijões com gás p45";"2025-02-11 00:00:00";23493.96;"2025-02-10 00:00:00";23493.96;
203;4;1;"2025-02-03 19:59:43";"99 para deixar strada no mecânico";"2025-02-03 00:00:00";8.30;"2025-02-03 00:00:00";8.30;
205;4;1;"2025-02-04 13:35:09";"Conserto rolamento strada e coxim";"2025-02-04 00:00:00";1500.00;"2025-02-04 00:00:00";1500.00;
207;7;2;"2025-02-05 15:19:38";"200 botijões com gás";"2025-02-13 00:00:00";15864.00;"2025-02-13 00:00:00";15864.00;
208;1;1;"2025-02-05 15:22:46";"Odair 01 de 10";"2025-02-05 00:00:00";12000.00;"2025-02-05 00:00:00";12000.00;
209;1;1;"2025-02-05 15:22:57";"Odair 02 de 10";"2025-03-05 00:00:00";12000.00;"2025-03-05 00:00:00";12000.00;
210;4;1;"2025-02-05 15:25:22";"Carsytem - restante do contrato de 1 ano até 10/2025";"2025-02-05 00:00:00";328.00;"2025-02-05 00:00:00";328.00;
211;1;1;"2025-02-05 17:38:00";"Segurança Juarez";"2025-02-05 00:00:00";400.00;"2025-02-05 00:00:00";400.00;
213;6;1;"2025-02-06 18:02:00";"Meia caixa de bobina térmica para impressora";"2025-02-06 00:00:00";60.00;"2025-02-06 00:00:00";60.00;
214;4;1;"2025-02-06 18:04:16";"Combustível Caminhão";"2025-02-05 00:00:00";500.00;"2025-02-05 00:00:00";500.00;
216;7;170;"2025-02-07 14:45:35";"232 botijões com gás";"2025-02-17 00:00:00";18402.24;"2025-02-17 00:00:00";18402.24;
217;7;1;"2025-02-07 17:40:06";"100 vasilhames P13 Moreira Depósito de gás - Bandeirantes";"2025-02-07 00:00:00";11000.00;"2025-02-07 00:00:00";11000.00;
219;7;2;"2025-02-08 17:06:26";"200 botijões com gás";"2025-02-17 00:00:00";15864.00;"2025-02-17 00:00:00";15864.00;
222;3;1;"2025-02-10 12:32:01";"Honorário 12 2025";"2025-02-10 00:00:00";450.00;"2025-02-10 00:00:00";450.00;
223;5;1;"2025-02-10 12:56:43";"Contrato PCMSO";"2025-02-10 00:00:00";1450.00;"2025-02-10 00:00:00";1450.00;
224;3;1;"2025-02-10 13:13:36";"Honorário 02 2025";"2025-02-10 00:00:00";450.00;"2025-02-10 00:00:00";450.00;
225;1;1;"2025-02-11 14:51:31";"Alvará 2025";"2025-02-11 00:00:00";2021.70;"2025-02-11 00:00:00";2021.70;
226;1;2;"2025-02-11 19:51:04";1,86;"2025-02-11 00:00:00";15.37;"2025-02-11 00:00:00";15.37;
227;1;1;"2025-02-12 15:15:44";"Aluguel 15 02";"2025-02-12 00:00:00";3500.00;"2025-02-12 00:00:00";3500.00;
228;7;2;"2025-02-12 17:29:06";"80 botijões com gás";"2025-02-20 00:00:00";6345.60;"2025-02-21 00:00:00";6354.06;"Atrasou 1 dia, juros 8,46"
229;6;1;"2025-02-13 15:03:48";"2 cotovelo 45 esgoto 100mm";"2025-02-12 00:00:00";13.98;"2025-02-12 00:00:00";13.98;
230;6;1;"2025-02-13 15:04:12";"4 tomatas dupla 10A sobrepor";"2025-02-12 00:00:00";49.20;"2025-02-12 00:00:00";49.20;
